id,title,type,district_n
13784,Gumdi SHP,Health Post,Dhading
13785,Jeewanpur SHP,Health Post,Dhading
13786,Jharlang SHP,Health Post,Dhading
13789,Kalleri SHP,Health Post,Dhading
13790,Katunje HP,Health Post,Dhading
13791,Kewalpur SHP,Health Post,Dhading
13793,Khari SHP,Health Post,Dhading
13794,Kiranchok SHP,Health Post,Dhading
13795,Kumpur SHP,Health Post,Dhading
13796,Lapa SHP,Health Post,Dhading
13798,Maidi HP,Health Post,Dhading
13799,Marpak SHP,Health Post,Dhading
13800,Mulpani SHP,Health Post,Dhading
13802,Nalang SHP,Health Post,Dhading
13803,Shiddha Samaj Sewa Nepal,Other,Dhading
13804,Naubise HP,Health Post,Dhading
13808,Phulkhark HP,Health Post,Dhading
13809,Pida SHP,Health Post,Dhading
13810,Ree SHP,Health Post,Dhading
13811,Ganesh Himal Health Centre,Other,Dhading
13812,Salang HP,Health Post,Dhading
13813,Salyankot SHP,Health Post,Dhading
13814,Salyantar PHC,Primary Health Care Center,Dhading
13816,Bhogateni HP,Health Post,Dhading
13817,Semjong SHP,Health Post,Dhading
13818,Sertung HP,Health Post,Dhading
13819,Himalayan Health Care,Primary Health Care Center,Dhading
13821,Tasarpu SHP,Health Post,Dhading
13822,Mahadevbeshi HP,Health Post,Dhading
13823,Tipling SHP,Health Post,Dhading
13824,Tripureswor,Health Post,Dhading
14578,Rauwahi HP,Health Post,Dhading
16101,Gajuri Hospital,Hospital,Dhading
16138,Healthpost,Health Post,Dhading
16840,Mahadev Basi Helth post,Hospital,Dhading
17498,"Primary Health Center, Gajuri",Hospital,Dhading
35550,Dhuwakot Health Post,Health Post,Dhading
35551,Khalte Health Post,Health Post,Dhading
35552,Sunaulabazar Health Post,Health Post,Dhading
35553,Dhuwakot Health Post-2 (Ganedada),Health Post,Dhading
35554,Muralibhanjyang Health Post,Health Post,Dhading
35555,Jyamrung Health Post,Health Post,Dhading
35556,Sankosh Health Post,Health Post,Dhading
